Work Item Type,Title,Description,Parent,Area Path,Iteration Path,Priority,Tags
Feature,Interface éditable,Modifier la documentation générée avant enregistrement.,Édition et mise en forme,Projet Power Automate Docs,,1,editing
User Story,En tant qu’utilisateur; je veux corriger la documentation générée avant enregistrement.,L’utilisateur peut ajuster le contenu généré par l’IA.,Interface éditable,Projet Power Automate Docs,,1,ui
Task,Créer l’éditeur de texte,Développer la zone d’édition.,En tant qu’utilisateur; je veux corriger la documentation générée avant enregistrement.,Projet Power Automate Docs,,1,ui
Task,Charger le contenu généré,Pré-remplir l’éditeur avec la sortie IA.,En tant qu’utilisateur; je veux corriger la documentation générée avant enregistrement.,Projet Power Automate Docs,,1,ui
Task,Sauvegarder les modifications,Enregistrer les corrections de l’utilisateur.,En tant qu’utilisateur; je veux corriger la documentation générée avant enregistrement.,Projet Power Automate Docs,,1,backend
Task,Tester l’édition,Vérifier la modification et la persistance.,En tant qu’utilisateur; je veux corriger la documentation générée avant enregistrement.,Projet Power Automate Docs,,1,test
Feature,Mise en forme,Organiser automatiquement le contenu documentaire.,Édition et mise en forme,Projet Power Automate Docs,,1,formatting
User Story,En tant qu’utilisateur; je veux une documentation claire et structurée.,Le contenu doit être présenté avec des sections lisibles.,Mise en forme,Projet Power Automate Docs,,1,ui
Task,Définir les sections standard,Préparer le modèle de mise en page.,En tant qu’utilisateur; je veux une documentation claire et structurée.,Projet Power Automate Docs,,1,ui
Task,Mettre en forme titres sous-titres et tableaux,Appliquer la structure finale au document.,En tant qu’utilisateur; je veux une documentation claire et structurée.,Projet Power Automate Docs,,1,ui
Task,Ajouter la prévisualisation,Permettre de voir le résultat avant sauvegarde.,En tant qu’utilisateur; je veux une documentation claire et structurée.,Projet Power Automate Docs,,1,ui
Epic,Gestion documentaire,Enregistrer et historiser et gérer le statut des documentations,,Projet Power Automate Docs,,1,document
Feature,Sauvegarde,Enregistrer la documentation générée.,Gestion documentaire,Projet Power Automate Docs,,1,storage
User Story,En tant qu’utilisateur; je veux enregistrer la documentation générée.,La documentation doit être persistée dans la base.,Sauvegarde,Projet Power Automate Docs,,1,storage
Task,Créer le modèle documentation,Définir l’entité de stockage.,En tant qu’utilisateur; je veux enregistrer la documentation générée.,Projet Power Automate Docs,,1,backend
Task,Développer l’API de sauvegarde,Créer les endpoints d’enregistrement.,En tant qu’utilisateur; je veux enregistrer la documentation générée.,Projet Power Automate Docs,,1,backend
Task,Lier documentation et flux,Associer le document au flux importé.,En tant qu’utilisateur; je veux enregistrer la documentation générée.,Projet Power Automate Docs,,1,backend
Task,Tester l’enregistrement,Vérifier la sauvegarde en base.,En tant qu’utilisateur; je veux enregistrer la documentation générée.,Projet Power Automate Docs,,1,test
Feature,Statuts documentaires,Gérer brouillon validé et archivé.,Gestion documentaire,Projet Power Automate Docs,,1,status
User Story,En tant qu’utilisateur; je veux gérer les statuts de la documentation.,Le statut doit être modifiable et filtrable.,Statuts documentaires,Projet Power Automate Docs,,1,workflow
Task,Ajouter le champ statut,Intégrer le statut dans le modèle de données.,En tant qu’utilisateur; je veux gérer les statuts de la documentation.,Projet Power Automate Docs,,1,backend
Task,Mettre à jour le statut,Permettre le passage entre brouillon validé et archivé.,En tant qu’utilisateur; je veux gérer les statuts de la documentation.,Projet Power Automate Docs,,1,backend
Task,Filtrer par statut,Rechercher les documents selon leur statut.,En tant qu’utilisateur; je veux gérer les statuts de la documentation.,Projet Power Automate Docs,,1,ui
Feature,Versioning,Conserver l’historique des versions.,Gestion documentaire,Projet Power Automate Docs,,1,version
User Story,En tant qu’utilisateur; je veux consulter l’historique des versions.,Chaque modification doit être traçable.,Versioning,Projet Power Automate Docs,,1,audit
Task,Créer le modèle de version,Définir les champs de version.,En tant qu’utilisateur; je veux consulter l’historique des versions.,Projet Power Automate Docs,,1,backend
Task,Sauvegarder chaque version,Conserver un historique à chaque modification.,En tant qu’utilisateur; je veux consulter l’historique des versions.,Projet Power Automate Docs,,1,backend
Task,Afficher l’historique,Présenter les anciennes versions à l’utilisateur.,En tant qu’utilisateur; je veux consulter l’historique des versions.,Projet Power Automate Docs,,1,ui
Task,Tester la restauration d’une version,Valider la consultation et la reprise d’une ancienne version.,En tant qu’utilisateur; je veux consulter l’historique des versions.,Projet Power Automate Docs,,1,test
Epic,Recherche et tableau de bord,Faciliter l’accès aux documents et visualiser l’activité,,Projet Power Automate Docs,,1,search
Feature,Recherche,Retrouver rapidement une documentation.,Recherche et tableau de bord,Projet Power Automate Docs,,1,search
User Story,En tant qu’utilisateur; je veux rechercher par nom mot-clé ou statut.,La recherche doit être rapide et pertinente.,Recherche,Projet Power Automate Docs,,1,ui
Task,Créer la barre de recherche,Développer l’interface de recherche.,En tant qu’utilisateur; je veux rechercher par nom mot-clé ou statut.,Projet Power Automate Docs,,1,ui
Task,Ajouter les filtres,Filtrer par nom et mot-clé et statut.,En tant qu’utilisateur; je veux rechercher par nom mot-clé ou statut.,Projet Power Automate Docs,,1,ui
Task,Relier la recherche au backend,Ajouter les requêtes API de filtrage.,En tant qu’utilisateur; je veux rechercher par nom mot-clé ou statut.,Projet Power Automate Docs,,1,backend
Task,Tester les recherches,Vérifier la pertinence des résultats.,En tant qu’utilisateur; je veux rechercher par nom mot-clé ou statut.,Projet Power Automate Docs,,1,test
Feature,Tableau de bord,Afficher l’activité globale de la plateforme.,Recherche et tableau de bord,Projet Power Automate Docs,,1,dashboard
User Story,En tant qu’utilisateur; je veux voir les documentations récentes et les statistiques.,Le tableau de bord doit donner une vue synthétique.,Tableau de bord,Projet Power Automate Docs,,1,ui
Task,Créer les indicateurs,Afficher nombre de documents et statistiques.,En tant qu’utilisateur; je veux voir les documentations récentes et les statistiques.,Projet Power Automate Docs,,1,ui
Task,Afficher les derniers flux,Montrer les documentations récentes.,En tant qu’utilisateur; je veux voir les documentations récentes et les statistiques.,Projet Power Automate Docs,,1,ui
Task,Afficher les dernières activités,Montrer les actions récentes de la plateforme.,En tant qu’utilisateur; je veux voir les documentations récentes et les statistiques.,Projet Power Automate Docs,,1,ui
Task,Actualiser les données,Mettre à jour les informations affichées.,En tant qu’utilisateur; je veux voir les documentations récentes et les statistiques.,Projet Power Automate Docs,,1,backend
Epic,Export,Exporter la documentation au format PDF ou Word,,Projet Power Automate Docs,,1,export
Feature,Export PDF,Générer un document PDF téléchargeable.,Export,Projet Power Automate Docs,,1,pdf
User Story,En tant qu’utilisateur; je veux télécharger la documentation en PDF.,Le document doit être partageable hors plateforme.,Export PDF,Projet Power Automate Docs,,1,export
Task,Intégrer le générateur PDF,Créer la génération côté backend.,En tant qu’utilisateur; je veux télécharger la documentation en PDF.,Projet Power Automate Docs,,1,backend
Task,Définir le template PDF,Créer la mise en page du document.,En tant qu’utilisateur; je veux télécharger la documentation en PDF.,Projet Power Automate Docs,,1,backend
Task,Tester le téléchargement,Vérifier le fichier PDF généré.,En tant qu’utilisateur; je veux télécharger la documentation en PDF.,Projet Power Automate Docs,,1,test
Feature,Export Word,Générer un document Word téléchargeable.,Export,Projet Power Automate Docs,,1,word
User Story,En tant qu’utilisateur; je veux télécharger la documentation en Word.,Le document doit être modifiable hors plateforme.,Export Word,Projet Power Automate Docs,,1,export
Task,Intégrer l’export Word,Créer la génération du fichier DOCX.,En tant qu’utilisateur; je veux télécharger la documentation en Word.,Projet Power Automate Docs,,1,backend
Task,Appliquer le format DOCX,Mettre en page les sections et tableaux.,En tant qu’utilisateur; je veux télécharger la documentation en Word.,Projet Power Automate Docs,,1,backend
Task,Tester le téléchargement,Vérifier le fichier Word généré.,En tant qu’utilisateur; je veux télécharger la documentation en Word.,Projet Power Automate Docs,,1,test
Epic,Validation technique et déploiement,Assurer la stabilité de la plateforme et valider les fonctionnalités principales et préparer la mise en production.,,Projet Power Automate Docs,,1,validation;deploiement
Feature,Tests fonctionnels,Vérifier le bon fonctionnement des modules principaux.,Validation technique et déploiement,Projet Power Automate Docs,,1,test
User Story,En tant qu’équipe; nous voulons valider les fonctionnalités avant livraison.,Le produit doit être testé avant toute mise en production.,Tests fonctionnels,Projet Power Automate Docs,,1,validation
Task,Tester l’import JSON,Valider l’import de fichiers JSON valides et invalides.,En tant qu’équipe; nous voulons valider les fonctionnalités avant livraison.,Projet Power Automate Docs,,1,test
Task,Tester la génération de documentation,Vérifier la qualité et la structure des documentations générées.,En tant qu’équipe; nous voulons valider les fonctionnalités avant livraison.,Projet Power Automate Docs,,1,test
Task,Tester l’édition et l’export,Valider l’enchaînement complet jusqu’au téléchargement.,En tant qu’équipe; nous voulons valider les fonctionnalités avant livraison.,Projet Power Automate Docs,,1,test
Feature,Automatisation CI/CD,Mettre en place les pipelines et automatiser les builds et les tests.,Validation technique et déploiement,Projet Power Automate Docs,,1,ci-cd
User Story,En tant qu’équipe; nous voulons automatiser le build et les tests.,Le pipeline doit faciliter la livraison continue.,Automatisation CI/CD,Projet Power Automate Docs,,1,devops
Task,Créer le pipeline backend,Automatiser la compilation et les tests du backend.,En tant qu’équipe; nous voulons automatiser le build et les tests.,Projet Power Automate Docs,,1,devops
Task,Créer le pipeline frontend,Automatiser la compilation et les tests du frontend.,En tant qu’équipe; nous voulons automatiser le build et les tests.,Projet Power Automate Docs,,1,devops
Task,Préparer le déploiement,Définir l’environnement cible et les paramètres de déploiement.,En tant qu’équipe; nous voulons automatiser le build et les tests.,Projet Power Automate Docs,,1,devops
Feature,Gestion des corrections,Traiter les anomalies détectées et revalider les fonctionnalités après correction.,Validation technique et déploiement,Projet Power Automate Docs,,1,bugfix
User Story,En tant qu’équipe; nous voulons corriger les anomalies détectées.,Les erreurs doivent être résolues puis revalidées.,Gestion des corrections,Projet Power Automate Docs,,1,bug
Task,Corriger les anomalies détectées,Résoudre les bugs identifiés lors des tests.,En tant qu’équipe; nous voulons corriger les anomalies détectées.,Projet Power Automate Docs,,1,bug
Task,Revalider les fonctionnalités après correction,Vérifier que les corrections n’ont pas cassé le reste.,En tant qu’équipe; nous voulons corriger les anomalies détectées.,Projet Power Automate Docs,,1,test
